meta_rank,deck,meta_points,meta_share,favorable_matchups,very_favorable_matchups,unfavorable_matchups,very_unfavorable_matchups,meta_opponents_faced,matches,wins,losses,ties,win_rate,tie_adjusted_win_rate
13,Festival Lead,73,0.0161,11,8,8,6,24,4313,2007,1867,439,0.4653373521910503,0.499265785609398
17,Beedrill,34,0.0075,11,8,11,9,24,1876,777,960,139,0.4141791044776119,0.4388770433546553
10,Ogerpon Box,144,0.0318,11,7,7,4,24,2904,1361,1174,369,0.46866391184573003,0.5110192837465565
7,Alakazam Dudunsparce,215,0.0475,11,5,7,4,24,6927,2965,3029,933,0.4280352244839036,0.472932005197055
1,Dragapult,1580,0.3492,11,4,4,2,24,16029,7628,6131,2270,0.47588745398964377,0.5230935595899099
11,Rocket's Honchkrow,97,0.0214,10,5,10,8,24,3818,1621,1652,545,0.4245678365636459,0.4721494674349572
4,Crustle,278,0.0613999999999999,9,7,10,7,24,2979,1459,1167,353,0.4897616649882511,0.5292603782029764
12,Lillie's Clefairy,89,0.0197,9,6,12,10,24,623,289,317,17,0.463884430176565,0.472980203317282
16,Hop's Trevenant,36,0.008,8,7,12,10,24,1252,520,621,111,0.41533546325878595,0.444888178913738
9,Raging Bolt Ogerpon,159,0.0351,8,4,9,8,24,6508,2873,2931,704,0.44145666871542716,0.4775148535136242
8,Dragapult Blaziken,214,0.0473,8,4,12,4,24,6520,2695,2850,975,0.4133435582822086,0.46319018404907975
24,Grimmsnarl Froslass,16,0.0034999999999999,7,6,12,7,24,1336,549,620,167,0.41092814371257486,0.4525948103792415
5,Slowking,253,0.0559,7,5,8,4,24,4390,2053,1990,347,0.46765375854214125,0.4940015186028853
20,Lucario Hariyama,27,0.006,7,5,14,12,24,3774,1484,1910,380,0.3932167461579226,0.426779720897368
21,Cynthia's Garchomp,25,0.0055,7,4,12,9,24,3756,1560,1716,480,0.41533546325878595,0.4579339723109691
2,Dragapult Dusknoir,402,0.0888,7,2,9,4,24,10162,4456,4638,1068,0.4384963589844519,0.4735288329069081
6,Hydrapple,219,0.0484,6,5,9,7,24,4240,1772,1837,631,0.4179245283018868,0.46753144654088047
23,Lopunny Dudunsparce,19,0.0042,6,4,13,9,24,3888,1539,1772,577,0.3958333333333333,0.44530178326474623
3,N's Zoroark,363,0.0802,6,2,12,11,24,7226,2960,3434,832,0.40963188486022695,0.4480118092074915
14,Rocket's Mewtwo,47,0.0104,5,5,13,11,24,4756,2045,2090,621,0.42998317914213624,0.4735071488645921
15,Mega Lucario,39,0.0086,5,3,10,7,24,1985,842,951,192,0.4241813602015113,0.4564231738035264
18,Ethan's Typhlosion,28,0.0062,5,2,16,15,24,1213,436,641,136,0.359439406430338,0.396812311074471
22,Metagross,21,0.0046,4,3,13,5,24,801,348,397,56,0.4344569288389513,0.4577611319184353
18,Dragapult Dudunsparce,28,0.0062,3,3,6,1,24,3961,1733,1611,617,0.43751577884372633,0.48943869393250866
24,Mega Greninja,16,0.0034999999999999,2,0,14,12,24,2403,910,1358,135,0.37869330004161467,0.3974198918019143
