deck,deck_lists,unique_cards,total_card_rows,average_placement
Dragapult,1355,229,33415,141.33749781887977
Dragapult Dusknoir,970,117,25696,104.75757005830356
N's Zoroark,957,168,25813,105.08805223956739
Slowking,690,126,17978,104.26502550454646
Alakazam Dudunsparce,594,116,15885,108.62096481682988
Mega Greninja,531,193,14708,99.35835990888383
Dragapult Blaziken,494,89,13947,105.25321279801472
Other,426,609,10724,84.14369801663467
Festival Lead,391,77,10445,114.55264636476008
Rocket's Honchkrow,386,43,7460,100.90183161953728
Raging Bolt Ogerpon,381,101,10157,131.54535495179667
Crustle,358,144,9333,98.61440350425148
Beedrill,347,113,8134,90.17305194805195
Ogerpon Meganium Hydrapple,296,82,7428,59.744299390774586
Rocket's Mewtwo,291,88,7205,124.56746510425641
Lucario Hariyama,275,97,6302,102.64187983343248
Cynthia's Garchomp,233,88,5189,114.30082449941108
Lopunny Dudunsparce,220,108,5373,118.68095838587642
Basic Box,203,108,5430,65.37019607843138
Dragapult Dudunsparce,183,80,4477,132.46434378629502
Mega Lucario,180,132,4306,103.74832897413543
Ethan's Typhlosion,176,84,4740,70.29966066301226
Metagross,172,89,4131,69.74651990935578
Hop's Trevenant,161,72,4137,94.63860435339309
Greninja,151,113,4446,90.96105291431641
Starmie Froslass,138,104,3702,125.71519624287151
Grimmsnarl Froslass,121,73,2916,87.75218295218295
Hydrapple,119,60,2891,210.8706329989623
Ceruledge,118,92,2254,91.19352975158867
Mega Absol Box,116,95,3292,71.20844564240791
Ogerpon Box,102,94,2890,202.58062283737024
Lillie's Clefairy,100,92,2460,116.89832535885168
Starmie Dusknoir,97,83,2611,99.53786848072562
Diancie Dusknoir,86,57,2058,81.83712121212122
Manectric Eelektrik,80,97,1889,89.6526717557252
Ogerpon Meganium,78,91,1922,167.07717934480843
Mega Venusaur,74,81,1801,75.21970187945561
Kangaskhan Bouffalant,63,114,1729,129.4789719626168
Marnie's Grimmsnarl,57,102,1392,93.30924548352816
Sylveon,55,51,1488,78.18867924528301
Ursaluna Lunatone,54,71,1310,80.80571992110454
Toxtricity Box,52,62,1326,74.25086705202312
Archaludon,51,98,1144,78.73340961098398
Okidogi Barbaracle,51,61,1251,124.78578290105668
Archaludon Dudunsparce,50,61,1123,97.38285714285715
Steven's Metagross,50,107,1435,120.64177693761815
Hydreigon,49,133,1356,85.2551867219917
Flareon Noctowl,44,83,1474,119.88728813559322
Joltik Box,42,76,1301,93.89347826086957
Blaziken Zoroark,40,51,1110,65.76131687242798
Mega Dragonite,39,81,1153,63.25174013921114
Sharpedo Toxtricity,39,97,980,85.5753052917232
Doublade,38,91,965,82.87849162011173
