source,tournament_id,labs_id,tournament_name,date,deck,day1,day2,conversion_rate,wins,losses,ties,tie_adjusted_win_rate
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Dragapult,749,240,0.3204272363150868,3278,2466,1021,0.534860803153486
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Dragapult Dusknoir,374,58,0.15508021390374332,1266,1258,316,0.4828638497652582
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Ogerpon Meganium Hydrapple,232,31,0.1336206896551724,700,777,232,0.45484688901891945
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Alakazam Dudunsparce,230,46,0.2,803,755,279,0.48775176918889496
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,N's Zoroark,209,51,0.24401913875598086,772,683,237,0.5029550827423168
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Dragapult Blaziken,186,23,0.12365591397849462,580,594,209,0.4697517474090142
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Slowking,168,35,0.20833333333333334,604,607,163,0.47913634158175644
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Raging Bolt Ogerpon,163,19,0.1165644171779141,431,552,127,0.4264264264264264
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Mega Greninja,123,7,0.056910569105691054,273,437,87,0.37892095357590966
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Crustle,121,35,0.2892561983471074,520,367,178,0.5439749608763693
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Basic Box,106,24,0.22641509433962265,390,363,97,0.4968627450980392
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Beedrill,94,8,0.0851063829787234,241,304,86,0.4273639725303751
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Rocket's Honchkrow,88,13,0.14772727272727273,254,262,121,0.4620617477760335
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Lucario Hariyama,65,6,0.09230769230769231,177,232,38,0.424310216256525
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Rocket's Mewtwo,63,8,0.12698412698412698,184,212,67,0.44564434845212386
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Festival Lead,60,10,0.16666666666666666,222,199,55,0.5049019607843137
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Hop's Trevenant,54,5,0.09259259259259259,145,177,57,0.43271767810026385
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Lopunny Dudunsparce,52,4,0.07692307692307693,133,170,65,0.42028985507246375
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Cynthia's Garchomp,50,7,0.14,141,160,46,0.4505283381364073
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Other,44,0,0.0,63,141,23,0.3113069016152717
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Lillie's Clefairy,42,7,0.16666666666666666,157,142,17,0.5147679324894514
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Metagross,41,4,0.0975609756097561,110,134,44,0.4328703703703704
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Ethan's Typhlosion,39,4,0.10256410256410256,90,125,51,0.40225563909774437
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Mega Lucario,38,3,0.07894736842105263,106,123,36,0.44528301886792454
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Dragapult Dudunsparce,31,3,0.0967741935483871,89,100,31,0.4515151515151515
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Greninja,30,2,0.06666666666666667,58,109,17,0.34601449275362317
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Starmie Froslass,30,2,0.06666666666666667,66,101,20,0.38859180035650626
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Starmie Dusknoir,29,0,0.0,57,104,12,0.35260115606936415
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Ceruledge,23,1,0.043478260869565216,51,75,22,0.39414414414414417
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Grimmsnarl Froslass,19,3,0.15789473684210525,52,58,23,0.44862155388471175
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Kangaskhan Bouffalant,18,3,0.16666666666666666,49,64,13,0.4232804232804233
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Archaludon Dudunsparce,16,1,0.0625,34,56,17,0.3707165109034268
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Diancie Dusknoir,14,1,0.07142857142857142,36,50,8,0.41134751773049644
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Steven's Metagross,14,1,0.07142857142857142,31,48,13,0.3840579710144928
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Mega Venusaur,12,0,0.0,19,45,7,0.3004694835680751
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Ogerpon Meganium Arboliva,9,2,0.2222222222222222,21,37,8,0.3585858585858586
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Mega Absol Box,8,1,0.125,26,29,6,0.45901639344262296
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Tera Box,8,0,0.0,22,24,10,0.4523809523809524
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Okidogi Barbaracle,7,1,0.14285714285714285,25,25,7,0.47953216374269003
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Flareon Noctowl,6,0,0.0,6,20,2,0.2380952380952381
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Mega Starmie,6,0,0.0,5,17,1,0.23188405797101447
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Clefairy Ogerpon,4,1,0.25,17,12,2,0.5698924731182796
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Manectric Eelektrik,4,0,0.0,1,9,2,0.13888888888888887
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Sharpedo Toxtricity,4,1,0.25,13,9,8,0.5222222222222223
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Archaludon,3,0,0.0,5,10,3,0.3333333333333333
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Bronzong,3,0,0.0,4,9,2,0.3111111111111111
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Doublade,3,0,0.0,7,14,0,0.3333333333333333
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Joltik Box,3,1,0.3333333333333333,9,13,3,0.4
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Ogerpon Meganium,3,0,0.0,5,15,1,0.25396825396825395
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Palafin,3,0,0.0,8,8,0,0.5
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Rocket's Spidops,3,0,0.0,5,9,3,0.35294117647058826
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Sylveon,3,2,0.6666666666666666,17,10,4,0.5913978494623655
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Dragapult Froslass,2,1,0.5,12,8,2,0.5757575757575757
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Eelektrik,2,0,0.0,3,9,1,0.25641025641025644
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Jellicent Dusknoir,2,0,0.0,6,8,0,0.42857142857142855
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Mega Abomasnow,2,0,0.0,2,9,1,0.19444444444444445
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Mega Diancie,2,0,0.0,0,4,0,0.0
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Toxtricity Box,2,0,0.0,2,7,1,0.23333333333333334
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Blaziken,1,0,0.0,2,3,1,0.3888888888888889
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Blaziken Zoroark,1,0,0.0,2,5,1,0.2916666666666667
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Blissey,1,0,0.0,3,3,2,0.4583333333333333
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Decidueye,1,0,0.0,3,5,0,0.375
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Flareon,1,0,0.0,1,5,0,0.16666666666666666
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Froslass Munkidori,1,0,0.0,2,3,1,0.3888888888888889
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Galvantula,1,0,0.0,2,4,0,0.3333333333333333
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Greninja Blaziken,1,0,0.0,4,2,2,0.5833333333333334
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Hop's Zacian,1,0,0.0,2,3,1,0.3888888888888889
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Hydrapple,1,0,0.0,0,3,0,0.0
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Hydreigon,1,0,0.0,2,5,0,0.2857142857142857
major,major-518,0070,"NAIC 2026, New Orleans",2026-06-10,Lopunny Dusknoir,1,0,0.0,1,3,1,0.26666666666666666
