rank,deck,points,share
1,Dragapult ex,556,0.4539
2,Hydrapple ex,96,0.0784
3,Slowking Seek Inspiration,82,0.0669
4,Raging Bolt ex,56,0.045700000000000005
5,Alakazam Powerful Hand,49,0.04
6,Festival Lead,46,0.037599999999999995
7,N's Zoroark ex,42,0.034300000000000004
8,Ogerpon Box,37,0.0302
9,Mega Lucario ex,36,0.0294
10,Crustle Mysterious Rock Inn,35,0.0286
11,Rocket's Honchkrow,29,0.023700000000000002
12,Hop's Trevenant,22,0.018000000000000002
13,Beedrill ex,20,0.0163
14,Lillie's Clefairy ex,17,0.0139
15,Mega Lopunny ex,13,0.0106
15,Mega Starmie ex,13,0.0106
17,Ethan's Typhlosion,12,0.0098
18,Ogerpon Meganium,11,0.009000000000000001
19,Archaludon ex,10,0.008199999999999999
19,Mega Greninja ex,10,0.008199999999999999
21,Greninja ex,7,0.005699999999999999
21,Metagross Metal Maker,7,0.005699999999999999
21,Mega Diancie ex,7,0.005699999999999999
24,Tera Box,4,0.0033
25,Rocket's Mewtwo ex,3,0.0024
